数据年月,第一数量,第一计量单位,美元
202201,2626738,千克,"4,656,351"
202201,26722003,千克,"126,776,061"
202202,856040,千克,"1,970,918"
202202,15370482,千克,"72,381,834"
202203,2129913,千克,"3,841,494"
202203,23742230,千克,"113,835,149"
202204,1972902,千克,"3,907,022"
202204,19557617,千克,"101,238,829"
202205,2355661,千克,"4,972,097"
202205,22735929,千克,"122,201,907"
202206,2516755,千克,"4,532,911"
202206,23608562,千克,"107,307,885"
202207,2924470,千克,"5,358,859"
202207,23983326,千克,"112,778,924"
202208,2018216,千克,"4,189,848"
202208,20496388,千克,"103,352,612"
202209,1202892,千克,"2,834,828"
202209,15850875,千克,"83,404,597"
202210,2627740,千克,"5,059,270"
202210,16694961,千克,"83,017,064"
202211,2118831,千克,"3,648,943"
202211,16526220,千克,"77,877,994"
202212,2531510,千克,"5,356,679"
202212,17945254,千克,"89,530,746"
202301,2615800,千克,"4,978,909"
202301,16687749,千克,"82,858,445"
202302,1949865,千克,"3,347,953"
202302,12178215,千克,"61,798,907"
202303,2797314,千克,"5,282,428"
202303,19134735,千克,"101,059,904"
202304,2621473,千克,"4,740,842"
202304,20077882,千克,"103,386,544"
202305,2573918,千克,"4,531,776"
202305,20774293,千克,"100,456,427"
202306,1730915,千克,"3,605,158"
202306,19445688,千克,"104,238,583"
202307,3678355,千克,"6,406,639"
202307,20318745,千克,"105,217,877"
202308,2053148,千克,"4,296,143"
202308,19726475,千克,"99,112,894"
202309,2545841,千克,"4,870,598"
202309,21766263,千克,"106,676,692"
202310,2598547,千克,"4,997,096"
202310,19551629,千克,"95,948,741"
202311,2777303,千克,"5,453,202"
202311,23586604,千克,"99,024,457"
202312,3156073,千克,"6,120,131"
202312,21672134,千克,"107,266,196"
202401,3453853,千克,"6,969,064"
202401,24252650,千克,"112,092,429"
202402,1289495,千克,"2,974,160"
202402,16060476,千克,"76,703,326"
202403,2857305,千克,"5,196,732"
202403,20935553,千克,"104,238,707"
202404,2379699,千克,"5,273,006"
202404,23641383,千克,"114,651,600"
202405,4196237,千克,"8,398,727"
202405,26364659,千克,"119,108,571"
202406,4063652,千克,"8,184,479"
202406,29364651,千克,"137,058,208"
202407,3521742,千克,"7,326,165"
202407,26098161,千克,"127,662,538"
202408,4019177,千克,"8,824,406"
202408,24443203,千克,"129,710,713"
202409,2906091,千克,"6,196,922"
202409,22736293,千克,"117,667,198"
202410,3349904,千克,"7,089,440"
202410,26588309,千克,"122,190,970"
