"数据年月","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"202401","23091010","零售包装狗食或猫食饲料的罐头","3453853","千克","0","?","6,969,064",
"202401","23091090","其他零售包装的狗食或猫食饲料","24252650","千克","0","?","112,092,429",
"202402","23091010","零售包装狗食或猫食饲料的罐头","1289495","千克","0","?","2,974,160",
"202402","23091090","其他零售包装的狗食或猫食饲料","16060476","千克","0","?","76,703,326",
"202403","23091010","零售包装狗食或猫食饲料的罐头","2857305","千克","0","?","5,196,732",
"202403","23091090","其他零售包装的狗食或猫食饲料","20935553","千克","0","?","104,238,707",
"202404","23091010","零售包装狗食或猫食饲料的罐头","2379699","千克","0","?","5,273,006",
"202404","23091090","其他零售包装的狗食或猫食饲料","23641383","千克","0","?","114,651,600",
"202405","23091010","零售包装狗食或猫食饲料的罐头","4196237","千克","0","?","8,398,727",
"202405","23091090","其他零售包装的狗食或猫食饲料","26364659","千克","0","?","119,108,571",
"202406","23091010","零售包装狗食或猫食饲料的罐头","4063652","千克","0","?","8,184,479",
"202406","23091090","其他零售包装的狗食或猫食饲料","29364651","千克","0","?","137,058,208",
"202407","23091010","零售包装狗食或猫食饲料的罐头","3521742","千克","0","?","7,326,165",
"202407","23091090","其他零售包装的狗食或猫食饲料","26098161","千克","0","?","127,662,538",
"202408","23091010","零售包装狗食或猫食饲料的罐头","4019177","千克","0","?","8,824,406",
"202408","23091090","其他零售包装的狗食或猫食饲料","24443203","千克","0","?","129,710,713",
"202409","23091010","零售包装狗食或猫食饲料的罐头","2906091","千克","0","?","6,196,922",
"202409","23091090","其他零售包装的狗食或猫食饲料","22736293","千克","0","?","117,667,198",
"202410","23091010","零售包装狗食或猫食饲料的罐头","3349904","千克","0","?","7,089,440",
"202410","23091090","其他零售包装的狗食或猫食饲料","26588309","千克","0","?","122,190,970",
