"数据年月","贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","美元",
"202301","502","美国","230910","零售包装的狗食或猫食饲料","11,473,838",
"202302","502","美国","230910","零售包装的狗食或猫食饲料","7,551,594",
"202303","502","美国","230910","零售包装的狗食或猫食饲料","12,364,983",
"202304","502","美国","230910","零售包装的狗食或猫食饲料","15,868,324",
"202305","502","美国","230910","零售包装的狗食或猫食饲料","16,850,139",
"202306","502","美国","230910","零售包装的狗食或猫食饲料","21,185,899",
"202307","502","美国","230910","零售包装的狗食或猫食饲料","21,996,592",
"202308","502","美国","230910","零售包装的狗食或猫食饲料","21,647,143",
"202309","502","美国","230910","零售包装的狗食或猫食饲料","25,152,986",
"202310","502","美国","230910","零售包装的狗食或猫食饲料","22,204,016",
"202311","502","美国","230910","零售包装的狗食或猫食饲料","17,241,196",
"202312","502","美国","230910","零售包装的狗食或猫食饲料","20,321,703",
